,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-AG-3887,36.949448,0.40739736,2,-1,2
TCGA-D5-6926,-20.850023,-7.6709085,1,-1,0
TCGA-AA-A01X,1.8244187,-12.697169,0,-1,1
TCGA-CI-6619,38.562515,4.8963833,2,-1,2
TCGA-AG-3593,-4.153661,15.962597,3,-1,3
TCGA-A6-A567,-9.021437,-8.994908,1,-1,1
TCGA-F5-6571,-5.1289306,12.489839,3,-1,3
TCGA-AA-3692,-30.37861,-2.1310744,1,-1,0
TCGA-CM-4748,10.0431595,0.4487106,0,-1,1
TCGA-AA-3850,9.301754,-1.4800975,0,-1,1
TCGA-AA-3976,-14.50055,-7.163814,1,-1,1
TCGA-G4-6297,-0.8539823,-15.2987385,0,-1,1
TCGA-AA-3955,3.8562822,5.280803,3,-1,1
TCGA-AG-3598,7.588629,-10.26185,2,-1,1
TCGA-NH-A5IV,13.307688,1.753851,0,-1,1
TCGA-DM-A1DB,-16.845514,1.3689995,1,-1,3
TCGA-EI-6509,40.649483,1.242161,2,-1,2
TCGA-AG-3725,1.6490159,-15.496964,0,-1,1
TCGA-DY-A1H8,-8.645031,15.922283,3,-1,3
TCGA-AD-A5EJ,13.1539545,-1.9309337,0,-1,1
TCGA-CI-6622,1.6833701,-15.213434,0,-1,1
TCGA-AF-6136,-3.707335,5.3518023,3,-1,1
TCGA-CM-6162,15.423653,7.5501604,0,-1,1
TCGA-D5-6533,-20.790813,12.467646,3,-1,3
TCGA-G4-6293,3.3509223,-15.091889,0,-1,1
TCGA-AA-3529,-26.959175,-0.05602202,1,-1,0
TCGA-A6-2679,-10.370343,-16.11609,0,-1,0
TCGA-CI-6620,6.097447,-0.82262385,0,-1,3
TCGA-AZ-6605,-12.578821,14.772093,3,-1,3
TCGA-DM-A1HA,-5.635817,-0.41018146,3,-1,1
TCGA-AF-2687,-2.8360016,-12.675487,1,-1,2
TCGA-AH-6903,3.2555413,-12.45879,0,-1,1
TCGA-CL-5918,39.816853,2.1545405,2,-1,2
TCGA-AA-3524,31.887362,6.008874,2,-1,2
TCGA-CM-5348,-22.747593,-11.483276,1,-1,0
TCGA-F4-6856,12.562288,0.530942,0,-1,1
TCGA-F4-6704,-3.214151,-15.012881,0,-1,1
